NAME,state,county,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
"Huerfano County, Colorado",08,055,6896,3607
"Jackson County, Colorado",08,057,1440,748
"Jefferson County, Colorado",08,059,580519,292303
"Kiowa County, Colorado",08,061,1347,632
"Kit Carson County, Colorado",08,063,7039,3499
"Lake County, Colorado",08,065,7403,3920
"La Plata County, Colorado",08,067,55983,28379
"Larimer County, Colorado",08,069,359363,180193
"Las Animas County, Colorado",08,071,14422,7537
"Lincoln County, Colorado",08,073,5583,3377
"Logan County, Colorado",08,075,21302,11594
"Mesa County, Colorado",08,077,156131,77615
"Mineral County, Colorado",08,079,794,395
"Moffat County, Colorado",08,081,13232,6702
"Montezuma County, Colorado",08,083,26070,13026
"Montrose County, Colorado",08,085,42823,21392
"Morgan County, Colorado",08,087,29045,15015
"Otero County, Colorado",08,089,18580,9409
"Ouray County, Colorado",08,091,4936,2558
"Park County, Colorado",08,093,17597,9422
"Phillips County, Colorado",08,095,4493,2203
"Pitkin County, Colorado",08,097,17325,9070
"Prowers County, Colorado",08,099,11968,6079
"Pueblo County, Colorado",08,101,168135,83410
"Rio Blanco County, Colorado",08,103,6511,3450
"Rio Grande County, Colorado",08,105,11442,5913
"Routt County, Colorado",08,107,24944,13144
"Saguache County, Colorado",08,109,6454,3274
"San Juan County, Colorado",08,111,690,371
"San Miguel County, Colorado",08,113,8082,4417
"Sedgwick County, Colorado",08,115,2391,1208
"Summit County, Colorado",08,117,30955,17012
"Teller County, Colorado",08,119,24758,12427
"Washington County, Colorado",08,121,4817,2547
"Weld County, Colorado",08,123,331466,168644
"Yuma County, Colorado",08,125,9938,5049
"Capitol Planning Region, Connecticut",09,110,977165,477460
"Greater Bridgeport Planning Region, Connecticut",09,120,326381,159824
"Lower Connecticut River Valley Planning Region, Connecticut",09,130,175244,86193
"Naugatuck Valley Planning Region, Connecticut",09,140,451887,220494
"Northeastern Connecticut Planning Region, Connecticut",09,150,95687,47915
"Northwest Hills Planning Region, Connecticut",09,160,112696,55997
"South Central Connecticut Planning Region, Connecticut",09,170,571298,276095
"Southeastern Connecticut Planning Region, Connecticut",09,180,280293,140310
"Western Connecticut Planning Region, Connecticut",09,190,620666,304908
"Kent County, Delaware",10,001,182400,88272
"New Castle County, Delaware",10,003,570567,277558
"Sussex County, Delaware",10,005,240668,117079
"District of Columbia, District of Columbia",11,001,670587,320797
"Alachua County, Florida",12,001,279729,135121
"Baker County, Florida",12,003,27969,14996
"Bay County, Florida",12,005,181055,90237
"Bradford County, Florida",12,007,27816,15418
"Brevard County, Florida",12,009,610723,300904
"Broward County, Florida",12,011,1940907,952900
"Calhoun County, Florida",12,013,13753,7715
"Charlotte County, Florida",12,015,189900,93505
"Citrus County, Florida",12,017,155173,76008
"Clay County, Florida",12,019,219650,108845
"Collier County, Florida",12,021,380221,188078
"Columbia County, Florida",12,023,69832,35762
"DeSoto County, Florida",12,027,34258,19234
"Dixie County, Florida",12,029,16737,9323
"Duval County, Florida",12,031,995708,484498
"Escambia County, Florida",12,033,321296,159191
"Flagler County, Florida",12,035,117515,56801
"Franklin County, Florida",12,037,12276,6827
"Gadsden County, Florida",12,039,43746,20875
"Gilchrist County, Florida",12,041,18070,9320
"Glades County, Florida",12,043,12179,6794
"Gulf County, Florida",12,045,15002,8629
"Hamilton County, Florida",12,047,13492,7721
"Hardee County, Florida",12,049,25528,14055
